ip_address,mac_address,visit_time,time_spent,visited_page
127.0.0.1,Unknown,2023-06-09 11:25:32,0:00:00.000045,http://localhost/
127.0.0.1,Unknown,2023-06-09 11:33:40,0:00:00.000065,http://localhost/
